intervention_class,distance_limit,test_rotation,LOD,TAT,iso_lag,total_cases,lci_cases,uci_cases,cases_saved,cases_saved_lci,cases_saved_uci,mean_Reff_reduction,lci_Reff_reduction,uci_Reff_reduction,intervention
testing,Inf,biweekly-testing,1.00E+05,10,Inf,10871.53,7693.687929,14049.37207,-31.31,-111.9774701,49.35747012,0.000172,0,0.000992155,biweekly-TAT10-LOD105
NA,Inf,none,1.00E+01,Inf,Inf,10840.22,7581.710459,14098.72954,0,0,0,7.95E-05,0,0.000276374,none
testing,Inf,every-two-weeks-testing,1.00E+07,5,Inf,10681.7,7704.095461,13659.30454,158.52,-122.3850018,439.4250018,0.00664,0,0.032467991,two-week-TAT5-LOD107
testing,Inf,biweekly-testing,1.00E+07,10,Inf,10614.97,7495.092234,13734.84777,225.25,86.61822437,363.8817756,9.95E-05,0,0.000410466,biweekly-TAT10-LOD107
testing,Inf,every-two-weeks-testing,1.00E+01,10,Inf,10585.91,7742.068837,13429.75116,254.31,-160.358378,668.978378,5.95E-05,0,0.000173735,two-week-TAT10-LOD10
testing,Inf,biweekly-testing,1.00E+03,10,Inf,10575.26,7439.211649,13711.30835,264.96,142.4988103,387.4211897,0.000117,0,0.000726202,biweekly-TAT10-LOD103
testing,Inf,weekly-testing,1.00E+03,10,Inf,10570.98,7498.668966,13643.29103,269.24,83.04149268,455.4385073,0.000113,0,0.000540055,weekly-TAT10-LOD103
testing,Inf,every-two-weeks-testing,1.00E+07,10,Inf,10533.03,7200.21847,13865.84153,307.19,381.4919893,232.8880107,4.95E-05,0,0.000159579,two-week-TAT10-LOD107
testing,Inf,biweekly-testing,1.00E+01,10,Inf,10515.79,7463.728383,13567.85162,324.43,117.9820762,530.8779238,0.0001225,0,0.000489545,biweekly-TAT10-LOD10
testing,Inf,weekly-testing,1.00E+01,10,Inf,10509.65,7532.467597,13486.8324,330.57,49.24286132,611.8971387,0.0001165,0,0.000488433,weekly-TAT10-LOD10
testing,Inf,weekly-testing,1.00E+05,10,Inf,10455.96,7115.086251,13796.83375,384.26,466.6242079,301.8957921,8.80E-05,0,0.000273774,weekly-TAT10-LOD105
testing,Inf,every-two-weeks-testing,1.00E+03,10,Inf,10391.9,7599.861694,13183.93831,448.32,-18.15123558,914.7912356,8.50E-05,0,0.00027609,two-week-TAT10-LOD103
testing,Inf,weekly-testing,1.00E+07,10,Inf,10386.09,7494.479836,13277.70016,454.13,87.23062313,821.0293769,6.90E-05,0,0.000186765,weekly-TAT10-LOD107
testing,Inf,every-two-weeks-testing,1.00E+05,10,Inf,10379.13,7211.825723,13546.43428,461.09,369.8847355,552.2952645,8.00E-05,0,0.000318622,two-week-TAT10-LOD105
group-size-limit,50,none,1.00E+01,Inf,Inf,10293.81,7486.338487,13101.28151,546.41,95.37197213,997.4480279,0.0105795,0,0.184631451,group-lim=50
testing,Inf,every-two-weeks-testing,1.00E+01,5,Inf,10131.86,6911.921867,13351.79813,708.36,669.7885914,746.9314086,0.0154335,0,0.073914344,two-week-TAT5-LOD10
