"","intervention_class","distance_limit","test_rotation","LOD","TAT","iso_lag","total_cases","lci_cases","uci_cases","cases_saved","cases_saved_lci","cases_saved_uci","mean_Reff_reduction","lci_Reff_reduction","uci_Reff_reduction","intervention"
"1","testing","Inf","semi-weekly-testing","1e+01","1","Inf",2837.8,2640.86085603862,3034.73914396138,14091.31,10256.0160230355,17926.6039769645,0.974640999999986,0,6.92627438464692,"biweekly-TAT1-LOD10"
"2","testing","Inf","semi-weekly-testing","1e+01","2","Inf",3361.61,2976.4988648234,3746.7211351766,13567.5,9920.37801425073,17214.6219857493,0.82175800000003,0,5.34139952839168,"biweekly-TAT2-LOD10"
"3","testing","Inf","semi-weekly-testing","1e+01","3","Inf",4890.56,3820.81698753324,5960.30301246676,12038.55,9076.05989154089,15001.0401084591,0.508350999999991,0,2.98549302844565,"biweekly-TAT3-LOD10"
"4","testing","Inf","semi-weekly-testing","1e+01","4","Inf",8236.22,6446.86739943914,10025.5726005609,8692.89,6450.00947963499,10935.770520365,0.2113995,0,1.18163935477626,"biweekly-TAT4-LOD10"
"5","testing","Inf","semi-weekly-testing","1e+01","5","Inf",12449.48,8416.1088768573,16482.8511231427,4479.63,4480.76800221683,4478.49199778317,0.0709854999999953,0,0.395447207370156,"biweekly-TAT5-LOD10"
"6","testing","Inf","semi-weekly-testing","1e+01","10","Inf",16418.33,12030.4813039389,20806.1786960611,510.779999999999,866.395575135222,155.164424864775,7.7999999992473e-05,0,0.000294585081725529,"biweekly-TAT10-LOD10"
"7","testing","Inf","semi-weekly-testing","1e+03","1","Inf",3362.13,2982.31828015146,3741.94171984854,13566.98,9914.55859892267,17219.4014010773,0.79649999999997,0,4.89600395367582,"biweekly-TAT1-LOD103"
"8","testing","Inf","semi-weekly-testing","1e+03","2","Inf",4143.89,3493.78277987922,4793.99722012078,12785.22,9403.09409919492,16167.3459008051,0.615590000000029,0,3.5961302922525,"biweekly-TAT2-LOD103"
"9","testing","Inf","semi-weekly-testing","1e+03","3","Inf",6300.71,4765.91309283085,7835.50690716915,10628.4,8130.96378624329,13125.8362137567,0.343820000000004,0,1.93244254611699,"biweekly-TAT3-LOD103"
"10","testing","Inf","semi-weekly-testing","1e+03","4","Inf",10003.57,7107.7208671182,12899.4191328818,6925.54,5789.15601195594,8061.92398804407,0.137525000000015,0,0.747281070633278,"biweekly-TAT4-LOD103"
"11","testing","Inf","semi-weekly-testing","1e+03","5","Inf",13653.16,9331.17095614355,17975.1490438565,3275.95,3565.70592293059,2986.19407706942,0.0446784999999925,0,0.243168627127618,"biweekly-TAT5-LOD103"
"12","testing","Inf","semi-weekly-testing","1e+03","10","Inf",16436.62,12328.4039239273,20544.8360760727,492.490000000002,568.472955146812,416.507044853191,5.64999999947968e-05,0,0.000142636155141318,"biweekly-TAT10-LOD103"
"13","testing","Inf","semi-weekly-testing","1e+05","1","Inf",4563.73,3793.68900549677,5333.77099450322,12365.38,9103.18787357736,15627.5721264226,0.538872499999982,0,3.01769659741355,"biweekly-TAT1-LOD105"
"14","testing","Inf","semi-weekly-testing","1e+05","2","Inf",5961.32,4667.39964596033,7255.24035403967,10967.79,8229.4772331138,13706.1027668862,0.362241500000009,0,1.98695673528986,"biweekly-TAT2-LOD105"
