"","intervention_class","distance_limit","test_rotation","LOD","TAT","iso_lag","trace_lag","total_cases","lci_cases","uci_cases","cases_saved","cases_saved_lci","cases_saved_uci","contact_tracing","mean_Reff_reduction","lci_Reff_reduction","uci_Reff_reduction","intervention"
"1","testing","Inf","semi-weekly-testing","1e+01","1","Inf",Inf,2837.8,2640.86085603862,3034.73914396138,14091.31,10256.0160230355,17926.6039769645,"no contact tracing",0.974640999999986,0,6.92627438464692,"biweekly-TAT1-LOD10"
"2","testing","Inf","semi-weekly-testing","1e+01","2","Inf",Inf,3361.61,2976.4988648234,3746.7211351766,13567.5,9920.37801425073,17214.6219857493,"no contact tracing",0.82175800000003,0,5.34139952839168,"biweekly-TAT2-LOD10"
"3","testing","Inf","semi-weekly-testing","1e+01","3","Inf",Inf,4890.56,3820.81698753324,5960.30301246676,12038.55,9076.05989154089,15001.0401084591,"no contact tracing",0.508350999999991,0,2.98549302844565,"biweekly-TAT3-LOD10"
"4","testing","Inf","semi-weekly-testing","1e+01","4","Inf",Inf,8236.22,6446.86739943914,10025.5726005609,8692.89,6450.00947963499,10935.770520365,"no contact tracing",0.2113995,0,1.18163935477626,"biweekly-TAT4-LOD10"
"5","testing","Inf","semi-weekly-testing","1e+01","5","Inf",Inf,12449.48,8416.1088768573,16482.8511231427,4479.63,4480.76800221683,4478.49199778317,"no contact tracing",0.0709854999999953,0,0.395447207370156,"biweekly-TAT5-LOD10"
"6","testing","Inf","semi-weekly-testing","1e+01","10","Inf",Inf,16418.33,12030.4813039389,20806.1786960611,510.779999999999,866.395575135222,155.164424864775,"no contact tracing",7.7999999992473e-05,0,0.000294585081725529,"biweekly-TAT10-LOD10"
"7","testing","Inf","weekly-testing","1e+01","1","Inf",Inf,4692.08,3775.88878714601,5608.27121285399,12237.03,9120.98809192813,15353.0719080719,"no contact tracing",0.51164200000001,0,2.83594831197232,"weekly-TAT1-LOD10"
"8","testing","Inf","weekly-testing","1e+01","2","Inf",Inf,6304.52,4873.88760161372,7735.15239838628,10624.59,8022.98927746042,13226.1907225396,"no contact tracing",0.335991000000005,0,1.80817506675007,"weekly-TAT2-LOD10"
"9","testing","Inf","weekly-testing","1e+01","3","Inf",Inf,8809.56,6578.27258132494,11040.8474186751,8119.55,6318.6042977492,9920.49570225081,"no contact tracing",0.185234499999993,0,1.000787501039,"weekly-TAT3-LOD10"
"10","testing","Inf","weekly-testing","1e+01","4","Inf",Inf,11901.49,8366.8915590481,15436.0884409519,5027.62,4529.98532002604,5525.25467997396,"no contact tracing",0.0830484999999989,0,0.446394381694105,"weekly-TAT4-LOD10"
"11","testing","Inf","weekly-testing","1e+01","5","Inf",Inf,14703.14,10660.9269475128,18745.3530524872,2225.97,2235.9499315613,2215.9900684387,"no contact tracing",0.0303799999999912,0,0.167815148911616,"weekly-TAT5-LOD10"
"12","testing","Inf","weekly-testing","1e+01","10","Inf",Inf,16778.04,12894.3138626571,20661.7661373429,151.07,2.56301641701248,299.576983582985,"no contact tracing",7.55000000169925e-05,0,0.000286379509297774,"weekly-TAT10-LOD10"
"13","testing","Inf","every-two-weeks-testing","1e+01","1","Inf",Inf,8096.74,6146.97711436238,10046.5028856376,8832.37,6749.89976471175,10914.8402352882,"no contact tracing",0.221768999999997,0,1.13864956527024,"two-week-TAT1-LOD10"
"14","testing","Inf","every-two-weeks-testing","1e+01","2","Inf",Inf,9972.88,7338.41038467059,12607.3496153294,6956.23,5558.46649440355,8353.99350559646,"no contact tracing",0.151030999999991,0,0.783478738696761,"two-week-TAT2-LOD10"
"15","testing","Inf","every-two-weeks-testing","1e+01","3","Inf",Inf,12288.47,8658.85080433582,15918.0891956642,4640.64,4238.02607473832,5043.25392526169,"no contact tracing",0.0870815000000322,0,0.460746525032199,"two-week-TAT3-LOD10"
"16","testing","Inf","every-two-weeks-testing","1e+01","4","Inf",Inf,14112.83,9553.04270459209,18672.6172954079,2816.28,3343.83417448205,2288.72582551795,"no contact tracing",0.0415644999999794,0,0.227883874020044,"two-week-TAT4-LOD10"
"17","testing","Inf","every-two-weeks-testing","1e+01","5","Inf",Inf,15444.26,11563.4838814366,19325.0361185634,1484.85,1333.39299763753,1636.30700236247,"no contact tracing",0.0149395000000239,0,0.0828803904450535,"two-week-TAT5-LOD10"
"18","testing","Inf","every-two-weeks-testing","1e+01","10","Inf",Inf,16779.86,12807.5985691861,20752.1214308139,149.25,89.2783098880682,209.221690111932,"no contact tracing",3.65000000122073e-05,0,0.00010058498575205,"two-week-TAT10-LOD10"
"19","group-size-limit","6","none","1e+01","Inf","Inf",Inf,9018.09,7389.35664541602,10646.823354584,7911.02,5507.52023365811,10314.5197663419,"no contact tracing",0.191643000000008,0,2.48395718273368,"group-lim=6"
"20","group-size-limit","12","none","1e+01","Inf","Inf",Inf,13284.98,10237.8285836047,16332.1314163953,3644.13,2659.04829546941,4629.21170453059,"no contact tracing",0.0704704999999752,0,1.1337589096894,"group-lim=12"
"21","group-size-limit","16","none","1e+01","Inf","Inf",Inf,14498.1,10963.3616317801,18032.8383682199,2431.01,1933.515247294,2928.504752706,"no contact tracing",0.04049900000002,0,0.71732508667197,"group-lim=16"
"22","group-size-limit","20","none","1e+01","Inf","Inf",Inf,15407.22,11399.5740517935,19414.8659482065,1521.89,1497.30282728068,1546.47717271933,"no contact tracing",0.0250380000000046,0,0.495885393595696,"group-lim=20"
"23","group-size-limit","50","none","1e+01","Inf","Inf",Inf,16513.26,12700.102181892,20326.417818108,415.850000000002,196.774697182091,634.925302817912,"no contact tracing",0.00161550000001465,0,0.0504957711534146,"group-lim=50"
