"","intervention_class","test_rotation","n_test_days","total_cases","lci_cases","uci_cases","sd","cases_saved","cases_saved_lci","cases_saved_uci","mean_Reff_reduction","lci_Reff_reduction","uci_Reff_reduction"
"1","test + trace + symptom-iso + group limit","semi-weekly-testing",2,2567.42,2464.9330777411,2669.9069222589,52.2892460504571,14361.69,10431.943801333,18291.436198667,0.829806000000008,0,5.48281647202882
"2","test + trace + symptom-iso","semi-weekly-testing",2,2582.34,2457.10550432041,2707.57449567959,63.8951508569337,14346.77,10439.7713747537,18253.7686252463,0.810170500000023,0,4.95078350594461
"3","test + trace","semi-weekly-testing",2,2777.11,2626.87770957109,2927.34229042891,76.6491277698499,14152,10269.999169503,18034.000830497,0.425417499999977,0,2.26839200435832
"4","testing only","semi-weekly-testing",2,2823.61,2629.73717596415,3017.48282403585,98.9147061407407,14105.5,10267.13970311,17943.86029689,0.224456999999978,0,1.15789443350375
"5","test + trace + symptom-iso + group limit","weekly-testing",2,2819.95,2641.88789834879,2998.01210165121,90.8480110465336,14109.16,10254.9889807253,17963.3310192747,0.829806000000008,0,5.48281647202882
"6","test + trace + symptom-iso","weekly-testing",2,2855.23,2676.95000286871,3033.50999713129,90.9591822098399,14073.88,10219.9268762054,17927.8331237946,0.810170500000023,0,4.95078350594461
"7","test + trace","weekly-testing",2,3642.25,3294.39394871418,3990.10605128582,177.477577186642,13286.86,9602.48293035995,16971.2370696401,0.425417499999977,0,2.26839200435832
"8","testing only","weekly-testing",2,4700.84,3895.49061734395,5506.18938265605,410.892542171455,12228.27,9001.38626173019,15455.1537382698,0.224456999999978,0,1.15789443350375
"9","test + trace + symptom-iso + group limit","every-two-week-testing",2,3128.51,2884.6325043745,3372.3874956255,124.427293686479,13800.6,10012.2443746996,17588.9556253004,0.829806000000008,0,5.48281647202882
"10","test + trace + symptom-iso","every-two-week-testing",2,3163.65,2870.04802734403,3457.25197265597,149.796924824473,13765.46,10026.8288517301,17504.0911482699,0.810170500000023,0,4.95078350594461
"11","test + trace","every-two-week-testing",2,5530.21,4738.54269764527,6321.87730235473,403.911888956495,11398.9,8158.33418142887,14639.4658185711,0.425417499999977,0,2.26839200435832
"12","testing only","every-two-week-testing",2,8026.26,6305.68672419863,9746.83327580137,877.843508061924,8902.85,6591.1901548755,11214.5098451245,0.224456999999978,0,1.15789443350375
"13","test + trace + symptom-iso + group limit","semi-weekly-testing",5,2572.56,2444.61055122961,2700.50944877039,65.2803310053006,14356.55,10452.2663278445,18260.8336721555,0.835005000000014,0,5.54348770542264
"14","test + trace + symptom-iso","semi-weekly-testing",5,2579.08,2467.62352668327,2690.53647331673,56.8655476105744,14350.03,10429.2533523909,18270.8066476091,0.814772500000018,0,4.95888672476592
"15","test + trace","semi-weekly-testing",5,2763.71,2594.24213034354,2933.17786965646,86.4631988043164,14165.4,10302.6347487306,18028.1652512694,0.425980000000007,0,2.27171080003268
"16","testing only","semi-weekly-testing",5,2827.37,2625.42501253914,3029.31498746086,103.033156867784,14101.74,10271.451866535,17932.028133465,0.22689749999997,0,1.16390524727524
"17","test + trace + symptom-iso + group limit","weekly-testing",5,2822.65,2665.77024061387,2979.52975938613,80.0406935643527,14106.46,10231.1066384603,17981.8133615397,0.835005000000014,0,5.54348770542264
"18","test + trace + symptom-iso","weekly-testing",5,2843.9,2677.99156966397,3009.80843033603,84.6471583347097,14085.21,10218.8853094102,17951.5346905898,0.814772500000018,0,4.95888672476592
"19","test + trace","weekly-testing",5,3635.06,3307.88462596338,3962.23537403662,166.926211243172,13294.05,9588.99225311075,16999.1077468893,0.425980000000007,0,2.27171080003268
"20","testing only","weekly-testing",5,4553.23,3744.89807328122,5361.56192671878,412.414248325906,12375.88,9151.97880579291,15599.7811942071,0.22689749999997,0,1.16390524727524
"21","test + trace + symptom-iso + group limit","every-two-week-testing",5,3093.96,2852.79206471938,3335.12793528062,123.04486493909,13835.15,10044.0848143548,17626.2151856453,0.835005000000014,0,5.54348770542264
"22","test + trace + symptom-iso","every-two-week-testing",5,3203.98,2917.06406744325,3490.89593255675,146.385679875893,13725.13,9979.81281163088,17470.4471883691,0.814772500000018,0,4.95888672476592
"23","test + trace","every-two-week-testing",5,5490.07,4736.66815021681,6243.47184978319,384.388698868973,11439.04,8160.20872885732,14717.8712711427,0.425980000000007,0,2.27171080003268
"24","testing only","every-two-week-testing",5,8018.39,6008.48731071562,10028.2926892844,1025.46055575733,8910.72,6888.38956835851,10933.0504316415,0.22689749999997,0,1.16390524727524
"25","test + trace + symptom-iso + group limit","semi-weekly-testing",7,2553.86,2444.54458017852,2663.17541982148,55.7731733783085,14375.25,10452.3322988956,18298.1677011044,0.827906000000012,0,5.47480632950498
"26","test + trace + symptom-iso","semi-weekly-testing",7,2562.31,2442.43650106167,2682.18349893833,61.1599484379222,14366.8,10454.4403780125,18279.1596219875,0.80699450000001,0,4.92265274505188
"27","test + trace","semi-weekly-testing",7,2738.45,2575.39239819294,2901.50760180706,83.1926539831953,14190.66,10321.4844808812,18059.8355191188,0.42711799999999,0,2.28134955732027
"28","testing only","semi-weekly-testing",7,2790.43,2599.97785653699,2980.88214346301,97.1694609505174,14138.68,10296.8990225371,17980.4609774629,0.225377500000022,0,1.15363800422037
"29","test + trace + symptom-iso + group limit","weekly-testing",7,2818.41,2641.35609793226,2995.46390206774,90.3336235039507,14110.7,10255.5207811419,17965.8792188581,0.827906000000012,0,5.47480632950498
"30","test + trace + symptom-iso","weekly-testing",7,2849.24,2661.89137954146,3036.58862045854,95.5860308461926,14079.87,10234.9854995327,17924.7545004673,0.80699450000001,0,4.92265274505188
"31","test + trace","weekly-testing",7,3640.13,3333.64130578474,3946.61869421526,156.37178276289,13288.98,9563.2355732894,17014.7244267106,0.42711799999999,0,2.28134955732027
"32","testing only","weekly-testing",7,4609.36,3815.05518884316,5403.66481115684,405.257556712675,12319.75,9081.82169023098,15557.678309769,0.225377500000022,0,1.15363800422037
"33","test + trace + symptom-iso + group limit","every-two-week-testing",7,3116.47,2886.14437694227,3346.79562305773,117.513072988635,13812.64,10010.7325021319,17614.5474978681,0.827906000000012,0,5.47480632950498
"34","test + trace + symptom-iso","every-two-week-testing",7,3149.69,2862.50766112123,3436.87233887877,146.521601468758,13779.42,10034.3692179529,17524.4707820471,0.80699450000001,0,4.92265274505188
"35","test + trace","every-two-week-testing",7,5532,4667.15441249301,6396.84558750699,441.247748728054,11397.11,8229.72246658112,14564.4975334189,0.42711799999999,0,2.28134955732027
"36","testing only","every-two-week-testing",7,7899.46,5836.79937579056,9962.12062420944,1052.37786949461,9029.65,7060.07750328358,10999.2224967164,0.225377500000022,0,1.15363800422037
